imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3
tt0816238,Fired!,2007,06,5661.0,56.0,44.0,36.0,60.0,Unrated,"Chris Bradley, Kyle LaBrache",English,United States,71.0,Stephen Adly Guirgis, Tim Allen, Andy Borowitz,Documentary,Comedy,
tt2751390,Life of Riley,2014,03,11616.0,60.0,76.0,70.0,53.0,Not Rated,Alain Resnais,French,France,108.0,Sabine Azéma, Sandrine Kiberlain, Caroline Silhol,Comedy,,
tt4102304,Kino pro Alekseeva,2014,10,,68.0,64.0,64.0,64.0,,Mikhail Segal,Russian,Russia,95.0,Aleksandr Zbruev, Aleksey Kapitonov, Tatyana Mayst,Drama,,
tt4207112,Score: A Film Music Documentary,2017,03,101382.0,75.0,91.0,67.0,72.00999999999999,Not Rated,Matt Schrader,English,United States,94.0,Marco Beltrami, Jon Burlingame, Leonard Maltin,Music,Documentary,
tt5478478,Hostiles,2017,12,29819114.0,72.0,70.0,65.0,69.18,R,Scott Cooper,English,United States,134.0,Scott Shepherd, Rosamund Pike, Ava Cooper,Western,Drama,History
tt3379372,O Último Virgem,2016,12,,47.0,50.87,50.87,50.87,,"Rilson Baco, Felipe Bretas",,Brazil,83.0,Guilherme Prates, Bia Arantes, Fiorella Mattheis,Comedy,Romance,
tt3831344,Amelia 2.0,2017,08,10233.0,54.0,58.5,58.5,58.5,Not Rated,Adam Orton,English,United States,89.0,Ed Begley Jr., Kate Vernon, Debra Wilson,Drama,Science Fiction,
tt2953744,I Give You My Word,2013,09,,68.0,73.33,73.33,73.33,,Aleksandr Karpilovskiy,Russian,Russia,80.0,Semyon Treskunov, Egor Klinaev, Anfisa Vistingauzen,Adventure,Family,Comedy
tt1242744,The Valdemar Legacy,2010,01,,55.0,54.58,54.58,54.58,,José Luis Alemán,Spanish,Spain,104.0,Daniele Liotti, Óscar Jaenada, Laia Marull,Horror,Mystery,
tt4119208,Photon,2017,04,,73.0,69.5,69.5,69.5,,Norman Leto,Polish,Poland,107.0,Andrzej Chyra, Karolina Kominek-Skuratowicz, Lukasz Grudzinski,Drama,Mystery,
tt6587706,El Mar La Mar,2017,02,9065.0,68.0,100.0,79.0,82.0,,"Joshua Bonnetta, J.P. Sniadecki",English,United States,94.0,,,,Documentary,,
tt3779818,Attacking the Devil: Harold Evans and the Last Nazi War Crime,2014,06,,80.0,100.0,75.71,75.71,,"David Morris, Jacqui Morris",English,United Kingdom,99.0,Harold Evans, Ralph Nader, Michael Sheen,Documentary,,
tt5068712,Dying Laughing,2017,02,,68.0,82.0,73.0,63.06,Not Rated,"Lloyd Stanton, Paul Toogood",English,United Kingdom,89.0,Chris Rock, Jerry Seinfeld, Amy Schumer,Documentary,,
tt4059652,Cruel,2017,02,,63.0,55.0,55.0,55.0,Not Rated,Eric Cherrière,French,France,108.0,Jean-Jacques Lelté, Magali Moreau, Maurice Poli,Crime,Horror,
tt1587411,"I, Anna",2012,03,,60.0,61.0,55.0,55.0,,Barnaby Southcombe,English,United Kingdom,93.0,Charlotte Rampling, Gabriel Byrne, Eddie Marsan,Drama,Thriller,Mystery
tt3156000,Nick,2016,01,,47.0,59.0,59.0,59.0,,Jose Pozo,English,Andorra,107.0,Cooper Crafar, Molly Malcolm, Melina Matthews,Drama,Thriller,
tt5957544,"Fell, Jumped or Pushed",2016,10,,58.0,70.0,70.0,70.0,,Todd Peters,English,United States,89.0,Priscilla Allen, Abbas Arabzadeh, Amanda V. Axtell,Comedy,,
tt6119504,#Realityhigh,2017,07,,51.0,63.46,63.46,63.46,TV-14,Fernando Lebrija,English,United States,99.0,Nesta Cooper, Keith Powers, Alicia Sanz,Comedy,,
tt1479401,Victoria,2008,07,,66.0,0.0,0.0,0.0,,Anna Karina,French,France,95.0,Anna Karina, Jean-François Moran, Woodson Louis,,,
tt2782692,Ali's Wedding,2017,08,,69.0,92.0,64.0,69.82000000000001,TV-MA,Jeffrey Walker,English,Australia,110.0,Osamah Sami, Don Hany, Helana Sawires,Comedy,Drama,Romance
tt3102156,Project Arbiter,2013,07,,62.0,55.0,55.0,55.0,,Michael Chance,German,United States,22.0,Alexis Cassar, Jake Lyall, Tim Coyne,Action,Science Fiction,
tt6046212,Do It Like An Hombre,2017,08,2534252.0,56.0,56.0,72.0,72.0,R,Nicolás López,Spanish,Chile,109.0,Mauricio Ochmann, Alfonso Dosal, Humberto Busto,Comedy,,
tt7335938,Marc Maron: Too Real,2017,09,,72.0,80.0,66.84,66.84,,Lynn Shelton,English,United States,70.0,Marc Maron, Amber Preston,,Comedy,,
tt3910736,Gun Shy,2017,09,,41.0,0.0,21.0,46.18000000000001,R,Simon West,English,United Kingdom,91.0,Antonio Banderas, Olga Kurylenko, Ben Cura,Action,Adventure,Comedy
tt6164014,Circus Kane,2017,10,,45.0,40.25,40.25,40.25,TV-MA,Christopher Ray,English,United States,88.0,Jonathan Lipnicki, Tim Abell, Richard Moll,Horror,,
tt4383288,"Polina, danser sa vie",2016,11,165203.0,67.0,66.88,65.0,66.88,,"Valérie Müller, Angelin Preljocaj",French,France,112.0,Anastasia Shevtsova, Veronika Zhovnytska, Juliette Binoche,Drama,,
tt4092774,King Georges,2015,04,66175.0,68.0,100.0,71.0,52.92,Unrated,Erika Frankel,English,United States,80.0,Nicholas Elmi, Georges Perrier,,Documentary,,
