Title,Rated,Director,Language,Country,imdbID,BoxOffice,IMDB_Value,RT_Value,MC_Value,Actor_1,Actor_2,Actor_3,Actor_4
Lionheart,R,Sheldon Lettich,English,United States,tt0100029,24078196.0,62.0,39.0,41.0,Jean-Claude Van Damme, Harrison Page, Deborah Rennard,
Nuns on the Run,PG-13,Jonathan Lynn,English,United Kingdom,tt0100280,10959015.0,60.0,42.0,,Eric Idle, Robbie Coltrane, Camille Coduri,
Patlabor: The Movie,Unrated,Mamoru Oshii,Japanese,Japan,tt0100339,,70.0,,,Toshio Furukawa, David Jarvis, Doug Erholtz,
State of Grace,R,Phil Joanou,English,United Kingdom,tt0100685,1911542.0,72.0,84.0,60.0,Sean Penn, Ed Harris, Gary Oldman,
35 Up,,Michael Apted,English,United Kingdom,tt0101254,922872.0,81.0,94.0,,Bruce Balden, Jacqueline Bassett, Symon Basterfield,
Days of Being Wild,Not Rated,Kar-Wai Wong,Cantonese,Hong Kong,tt0101258,146310.0,74.0,91.0,93.0,Leslie Cheung, Maggie Cheung, Andy Lau,
Begotten,Unrated,E. Elias Merhige,English,United States,tt0101420,,56.0,67.0,,Brian Salzberg, Donna Dempsey, Stephen Charles Barry,
Dutch,PG-13,Peter Faiman,English,United States,tt0101786,4603929.0,65.0,17.0,,Ed O'Neill, Ethan Embry, JoBeth Williams,
Hearts of Darkness: A Filmmaker's Apocalypse,R,"Fax Bahr, George Hickenlooper, Eleanor Coppola",English,United States,tt0102015,1318449.0,81.0,100.0,,Dennis Hopper, Martin Sheen, Marlon Brando,
Johnny Stecchino,R,Roberto Benigni,Italian,Italy,tt0102164,626057.0,72.0,46.0,,Roberto Benigni, Nicoletta Braschi, Paolo Bonacelli,
