imdbID,Title,Year,Month,Box_Office,IMDB_Value,RT_Value,MC_Value,Vote_Average,Rated,Director,Language,Country,Runtime,Actor_1,Actor_2,Actor_3,Genre_1,Genre_2,Genre_3,Awards,Nominations,Adj_Box_Office,Log_Box_Office,Genre,Sub_Genre
tt7399726,Yongsoon,2017,6,75674.0,62.0,61.67,61.67,61.67,Unknown,Joon Shin,Korean,South Korea,104.0,Yeo-jin Choi, Choi Deok-moon, Kim Dong-young,Drama,Comedy,Unknown,0.0,0.0,83654.4703818538,11.334450146491552,Drama,Comedy
tt6388074,Viper Club,2018,10,60607.0,57.0,38.0,57.0,59.64,R,Maryam Keshavarz,English,United States,109.0,Susan Sarandon, Matt Bomer, Lola Kirke,Thriller/Horror,Drama,Unknown,0.0,0.0,65401.119005045664,11.088294647467809,Drama,Thriller/Horror
tt3823392,Love Sonia,2018,9,6034.0,74.0,74.0,76.0,76.0,Unknown,Tabrez Noorani,Hindi,India,126.0,Abhishek Bharate, Riya Sisodiya, Mrunal Thakur,Drama,Unknown,Unknown,0.0,0.0,6511.299884113148,8.781294390249197,Drama,Unknown
tt7694738,Best F(r)iends Volume Two,2018,6,141524.0,50.0,57.43000000000001,57.43000000000001,57.43000000000001,R,Justin MacGregor,English,United States,93.0,Tommy Wiseau, Greg Sestero, Kristen StephensonPino,Action/Adventure,Comedy,Thriller/Horror,0.0,0.0,152718.79429884473,11.936353563520669,Action/Adventure,Comedy
tt1717158,Low Cost,2011,6,1830184.0,46.0,50.64,50.64,50.64,Unknown,Maurice Barthélémy,French,France,86.0,Jean-Paul Rouve, Judith Godrèche, Gérard Darmon,Comedy,Unknown,Unknown,0.0,0.0,2204708.647588902,14.606105925520058,Comedy,Unknown
tt9225192,Unstoppable,2018,11,101417.0,66.0,80.0,75.93,75.93,Not Rated,Kim Min-Ho,Korean,South Korea,115.0,Ma Dong-seok, Song Ji-Hyo, Kim Sung-oh,Action/Adventure,Action/Adventure,Unknown,0.0,0.0,109439.26091267868,11.6031249794772,Action/Adventure,Action/Adventure
tt4444798,Desolation,2018,1,18490.0,47.0,58.0,45.0,45.0,TV-MA,David Moscow,English,United States,90.0,Cailey Fleming, Raymond J. Barry, Dominik Garcia,Thriller/Horror,Unknown,Unknown,0.0,0.0,19952.591126491898,9.901114294911364,Thriller/Horror,Unknown
tt5644394,End of Summer,2017,11,286549.0,65.0,56.0,56.0,56.0,Unknown,Quan Zhou,Mandarin,China,105.0,Zhuo Tan, Zishan Rong, Songwen Zhang,Drama,Unknown,Unknown,0.0,0.0,316768.0423058094,12.66592505727408,Drama,Unknown
tt6312872,Knife in the Clear Water,2018,4,89226.0,66.0,67.14,67.14,67.14,Unknown,Xuebo Wang,Mandarin,China,93.0,Shengcang Yang, Shengcang Yang, Chenghua Li,Drama,Unknown,Unknown,0.0,0.0,96283.9316307391,11.47505672644693,Drama,Unknown
tt8306326,The Widowed Witch,2017,7,100318.0,67.0,62.0,62.0,62.0,Unknown,Chengjie Cai,Mandarin,China,140.0,Wang Qilin, Tian Tian, Wen Xinyu,Sci-Fi/Fantasy,Drama,Unknown,0.0,0.0,110897.3909105744,11.616360646556515,Drama,Sci-Fi/Fantasy
