original_title,imdb_id,release_date,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,Year,Month
Stardust,tt0486655,2007-08-09,137515140,127,72.41,en,Adventure,Fantasy,Romance,Family,,,,,,2007,08
Who's Your Caddy?,tt0785077,2007-07-27,0,93,38.63,en,Comedy,,,,,,,,,2007,07
Skinwalkers,tt0461703,2006-03-20,0,110,50.67999999999999,en,Fantasy,Action,Horror,,,,,,,2006,03
The Simpsons Movie,tt0462538,2007-07-25,527068851,87,69.93,en,Animation,Comedy,Family,,,,,,,2007,07
I Know Who Killed Me,tt0897361,2007-07-27,9620399,105,45.0,en,Thriller,Horror,Mystery,,,,,,,2007,07
No Reservations,tt0481141,2007-06-15,92601050,104,65.44,en,Comedy,Romance,Drama,,,,,,,2007,06
Underdog,tt0467110,2007-08-03,65270477,81,54.25,en,Family,Action,Adventure,Comedy,Fantasy,Science Fiction,,,,2007,08
Charlie Bartlett,tt0423977,2007-05-01,5254986,97,66.7,en,Comedy,Drama,,,,,,,,2007,05
El cantante,tt0458522,2006-09-12,0,116,71.0,en,History,Drama,Music,,,,,,,2006,09
The Bourne Ultimatum,tt0440963,2007-08-03,442824138,115,74.1,en,Action,Drama,Mystery,Thriller,,,,,,2007,08
Bratz,tt0804452,2007-08-03,26000000,102,57.629999999999995,en,Comedy,Music,,,,,,,,2007,08
You Kill Me,tt0796375,2007-02-09,3748295,90,61.589999999999996,en,Comedy,Crime,Thriller,Romance,,,,,,2007,02
Miehen työ,tt0890882,2007-02-23,0,103,60.0,fi,Drama,,,,,,,,,2007,02
Superbad,tt0829482,2007-03-20,170812526,113,72.0,en,Comedy,,,,,,,,,2007,03
Arctic Tale,tt0488508,2007-06-17,0,86,65.0,en,Documentary,Family,,,,,,,,2007,06
Joshua,tt0808331,2007-01-21,719968,105,56.28999999999999,en,Drama,Thriller,Horror,,,,,,,2007,01
Talk to Me,tt0796368,2007-07-13,4778376,118,68.43,en,Drama,,,,,,,,,2007,07
