original_title,imdb_id,revenue,runtime,vote_average,original_language,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,Year,Month
French Kiss,tt0113117,101982854,111,64.06,en,Comedy,Romance,,,,,,,,,1995,05
Forget Paris,tt0113097,33177694,101,61.0,en,Comedy,Drama,Romance,,,,,,,,1995,05
Far from Home: The Adventures of Yellow Dog,tt0113028,0,87,58.0,en,Action,Adventure,Drama,Family,,,,,,,1995,01
A Goofy Movie,tt0113198,35348597,78,69.55,en,Romance,Animation,Family,Comedy,Adventure,,,,,,1995,04
Hideaway,tt0113303,12201255,103,51.14,en,Drama,Thriller,Horror,,,,,,,,1995,03
Fluke,tt0113089,0,96,71.94,en,Drama,Adventure,Family,,,,,,,,1995,06
Farinelli,tt0109771,0,111,65.33,fr,History,Drama,,,,,,,,,1994,12
Gordy,tt0113199,3992809,90,54.0,en,Drama,Family,Fantasy,,,,,,,,1995,05
Hoop Dreams,tt0110057,7830611,174,76.79,en,Documentary,,,,,,,,,,1994,09
Heavenly Creatures,tt0110005,3049135,109,69.98,en,Drama,Fantasy,,,,,,,,,1994,09
Houseguest,tt0110066,26325256,109,56.42,en,Comedy,Family,,,,,,,,,1995,01
Immortal Beloved,tt0110116,0,121,70.8,en,Drama,Music,Romance,,,,,,,,1994,12
Heavyweights,tt0110006,17689177,100,61.51,en,Family,Comedy,Drama,,,,,,,,1995,02
The Hunted,tt0113360,6600000,110,59.0,en,Action,Thriller,,,,,,,,,1995,02
I.Q.,tt0110099,26381221,100,59.260000000000005,en,Comedy,Drama,Romance,,,,,,,,1994,12
Interview with the Vampire,tt0110148,223664608,123,73.78999999999999,en,Horror,Drama,Fantasy,,,,,,,,1994,11
Jefferson in Paris,tt0113463,2474000,139,50.61,en,Drama,Romance,History,,,,,,,,1995,03
The Jerky Boys,tt0110189,0,82,43.2,en,Comedy,Crime,,,,,,,,,1995,02
Junior,tt0110216,108431355,109,51.51,en,Comedy,Family,Romance,,,,,,,,1994,11
Just Cause,tt0113501,0,102,61.51,en,Action,Drama,Mystery,Thriller,,,,,,,1995,02
A Kid in King Arthur's Court,tt0113538,0,89,48.730000000000004,en,Adventure,Fantasy,Comedy,Science Fiction,Family,,,,,,1995,08
Kiss of Death,tt0113552,14942422,101,56.0,en,Crime,Thriller,Drama,,,,,,,,1995,04
Star Wars,tt0076759,775398007,121,82.07000000000001,en,Adventure,Action,Science Fiction,,,,,,,,1977,05
Little Women,tt0110367,50083616,115,73.06,en,Drama,Romance,,,,,,,,,1994,12
A Little Princess,tt0113670,10015449,97,76.11,en,Drama,Family,Fantasy,,,,,,,,1995,05
Ladybird Ladybird,tt0110296,0,101,71.67,en,Drama,,,,,,,,,,1994,02
Como agua para chocolate,tt0103994,21744201,105,72.67,es,Drama,Romance,,,,,,,,,1992,04
Legends of the Fall,tt0110322,160638883,133,74.0,en,Adventure,Drama,Romance,War,Western,,,,,,1994,12
Major Payne,tt0110443,30112050,95,63.59,en,Adventure,Comedy,Family,,,,,,,,1995,03
Mi Vida Loca,tt0107566,3267313,92,72.0,en,Crime,Drama,,,,,,,,,1994,06
Love Affair,tt0110391,18272894,108,53.0,en,Drama,Romance,,,,,,,,,1994,10
Losing Isaiah,tt0113691,7603766,106,65.0,en,Drama,,,,,,,,,,1995,03
The Madness of King George,tt0110428,15238994,107,67.37,en,Comedy,Drama,History,,,,,,,,1994,12
