,Release Group,Rollout,Markets,Domestic,International,Worldwide,imdb_id,Area,Release Date,Opening,Gross,Filmmakers,Role,# Releases,Lifetime Gross,Rank
0,,,,,,,tt0113114,Domestic,"Jul 21, 1995","$7,039,608","$30,077,111",,,,,
0,,,,,,,tt0113243,Domestic,"Sep 15, 1995","$3,173,101","$7,563,728",,,,,
0,,,,,,,tt0113464,Domestic,"Aug 4, 1995","$185,909","$3,487,767",,,,,
0,,,,,,,tt0113481,Domestic,"May 26, 1995","$6,033,850","$19,075,720",,,,,
0,,,,,,,tt0113492,Domestic,"Jun 30, 1995","$12,291,536","$34,693,481",,,,,
0,,,,,,,tt0113500,Domestic,"Apr 14, 1995","$4,831,622","$17,014,653",,,,,
0,,,,,,,tt0113540,Domestic,"Jul 21, 1995","$85,709","$7,412,216",,,,,
0,,,,,,,tt0113677,Domestic,"Jul 14, 1995","$47,965","$1,111,790",,,,,
0,,,,,,,tt0113690,Domestic,"Aug 25, 1995","$4,800,258","$13,294,422",,,,,
0,,,,,,,tt0107447,Domestic,"Jun 2, 1995","$28,280","$542,985",,,,,
0,,,,,,,tt0113729,Domestic,"May 26, 1995","$6,820,171","$15,453,274",,,,,
0,,,,,,,tt0113749,Domestic,"Oct 20, 1995","$1,153,838","$2,122,561",,,,,
0,,,,,,,tt0113820,Domestic,"Jun 30, 1995","$13,104,788","$38,187,431",,,,,
0,,,,,,,tt0110604,Domestic,"Sep 15, 1995","$560,048","$1,125,910",,,,,
0,,,,,,,tt0110620,Domestic,"Aug 25, 1995","$23,846","$443,169",,,,,
0,,,,,,,tt0113957,Domestic,"Jul 28, 1995","$10,037,745","$50,727,965",,,,,
0,,,,,,,tt0113986,Domestic,"Jul 14, 1995","$12,522,240","$69,684,532",,,,,
0,,,,,,,tt0114095,Domestic,"Jun 9, 1995","$57,237","$472,370",,,,,
0,,,,,,,tt0114194,Domestic,"Sep 1, 1995","$7,510,332","$16,115,878",,,,,
0,,,,,,,tt0114241,,,,,Norman René,Director,,,
