,Area,Release Date,Opening,Gross,imdb_id,Release Group,Rollout,Markets,Domestic,International,Worldwide,Filmmakers,Role,APAC,# Releases,Lifetime Gross,Rank
0,Australia,"Apr 23, 2009","$14,039","$14,039",tt0775080,,,,,,,,,,,,
0,,,,,tt7582890,,,,,,,Judah Friedlander,Director,,,,
0,Domestic,"Apr 1, 2016","$28,339","$1,163,265",tt5562652,,,,,,,,,,,,
0,,,,,tt0925306,,,,,,,Brian Trenchard-Smith,Director,,,,
0,Colombia,"May 16, 2019","$41,893","$59,632",tt6089700,,,,,,,,,,,,
0,,,,,tt5267658,,,,,,,Peter Molloy,Director,,,,
0,,,,,tt4957538,,,,,,,Sion Sono,Director,,,,
0,,,,,tt6618178,,,,,,,Maite Alberdi,Director,,,,
0,,,,,tt4066000,,,,,,,Tim Reis,Director,,,,
0,,,,,tt5257726,,,,,,,Raymie Muzquiz,Director,,,,
0,,,,,tt2290397,,,,,,,Claudio Cupellini,Director,,,,
0,Domestic,"Aug 11, 2017","$678,436","$1,830,715",tt5785170,,,,,,,,,,,,
0,United Arab Emirates,"Feb 23, 2017","$39,513","$43,365",tt6567396,,,,,,,,,,,,
0,Austria,"Dec 5, 2014","$2,066","$4,024",tt2085752,,,,,,,,,,,,
0,Netherlands,"Oct 27, 2016","$297,316","$1,510,128",tt5876318,,,,,,,,,,,,
0,,,,,tt4807950,,,,,,,Assaad Yacoub,Director,,,,
0,,,,,tt7048676,,,,,,,Joshua Shreve,Director,,,,
0,Domestic,"Jan 11, 2019","$422,656","$1,014,507",tt6101820,,,,,,,,,,,,
0,,,,,tt4242768,,,,,,,Brian Marshall,Director,,,,
0,Slovakia,"Jan 25, 2018",$967,"$1,008",tt6286796,,,,,,,,,,,,
0,Domestic,"Apr 20, 2018","$6,964","$9,996",tt6054874,,,,,,,,,,,,
0,,,,,tt6189344,Original Release,"May 11, 2017",Italy,–,"$1,191,233","$1,191,233",,,,,,
0,Poland,"Oct 23, 2009","$121,434","$222,643",tt1485750,,,,,,,,,,,,
0,Poland,"Feb 5, 2016",–,"$8,757,759",tt5127398,,,,,,,,,,,,
